GBEOVU4G3LSMBU2QOYXUOAX27JNZPTJZMBQZABXR6MQ5FCBXBGFGBY2C,,37792081.299021,"2"
GADSPHISO7TVTCUOGOERQWLIK32VJ2UABY4G7FPQVFYJR4G6BPROEK5B,,37633101.773883,"2"
GBJVGBR32KIXH23DOK35JU7WAUQ6ZA5CIXMHJKJ5JGGUCQZ4BWBLUZJJ,,37235754.694154,"2"
GDJ73GJW3GB7CTEHPE5UMH3BDW4VFXKBSA5YSUTRX7R4Z5Z3QUDVPDCV,,37158581.777295,"2"
GASKO7E4NOEF3NTHQM53NMHTGWUGHK6MOI34OUICWZUA4N7QRBZ5SR4B,,35087641.46697,"25"
GCDJT6FUGXHAAMPL4LFNRX7PB7IXS2G2KELASD45WW3VEQ5TAXLTYHMT,,34581628.835423,"7"
GBQSO7OA2MKIFIEI5W42R47WDBIMB7COBN4QCY76FRBTWSJYJAD3SCC7,,34175407.160749,"684336"
GDGUZ55M2QXLU7SHFQ7I7OXH7OHQMKLOVOPOCWX2FH6Z6R4AGAYUCOWU,,34174078.58317,"684"
GACPVRC6IUTOXY4NZ6T54VOEBL7UCVUD4IGTUBBDHHCQKBZWSGBQYYXB,,33319204.094582,"6"
GCPBVJ66Y3TVCXSV6QVUUFX2MUYVJQ4O7AD3XKN3ZMLFZEJ6PRT2PFWC,Coinbase,31929106.141183,"102"
GDGCDU5OLMJ3PT2HSDACJRHMLUWPTLUERWHX7TOR7DTO3IMI5GBZSMYL,Coinbase,31868351.21991,"91"
GCTQR4WHN4VDLBZIN7NWAOEGLQZVU4EASCXZLKN7VKBYDXQY4IAP3XW5,Coinbase,31391750.162844,"88"
GDLNUWHCGELKW6OA7KBLNRBHUR7QN76X3W3LNQ3QCTZ7PBGQCB34EYGD,Coinbase,31384828.071968,"104"
GDYAIQEA6VFM6LCCLJBGKIMVXL2YNLGGJJD4DN5DZ3VV6UOVX4X5LK4V,Coinbase,31282650.881587,"104"
GBQO7K47PQ4KSURCM4LYXROCDNBWUKSYJA7XKS53MYKZCKQGBCC5OIZY,,31108799.091054,"2"
GADBOG3WWJ6Q7IUZENFAXU6GIY5CRXUYVWUCEVNY2DUDXXQPDMGINUL4,,30321161.638523,"24711"
GDTPX625BCYNEMY43OKDVSZFWQGBCFC6DVEERGGN4Y5L2MIQ55LJMHGS,,30026937.198797,"176"
GAKGC35HMNB7A3Q2V5SQU6VJC2JFTZB6I7ZW77SJSMRCOX2ZFBGJOCHH,SDF Direct Development (Hot 4),29829828.846049,"2309"
GDLCYNVBXFYWGJSAWTD5SZKLBXRJBKL4GQCPCJQFZDS3XQ4BMN7UQF7M,,29495992.4599,"61"
GDHTRGWEPHTX2UZGUF2HBECHEIUKLGRVJM6GKX4N3ZR44RHFX6YHV7YZ,,28758829.666733,"80"
GCRJROYL4MFGCGFC3VB7NNQ7QQMOAXUWHCV7IJYTDZHQWII5GN7D4J6F,Coinbase,28575909.087476,"86"
GCAL3TRGIGZNBLQ7SZPLFJX7SAW3HGVAMGNT2UOIAYOVGY4RAPEZLSKV,,28448486.750031,"894041"
GBR3K7R7WWMRIH32LSC2KWRUPY7OJIYXGQBPL2IRRYTECBI6CCPRVMDM,,27877299.01587,"83"
GA6CMIHO3KRH2BN2Q3SLDVM42YHLNDH6II6UZARSOJA27DDYCHAUUMUG,,27803414.944277,"98"
GAU5RIRH2V4OQZMUWZ64WCZD4KHJ5RJ2NGTYGDVPUVKRRVXDSZU3IFTL,Coinbase,26549359.558897,"86"
GB4BMX6Z7QP3XX7QACLMSMIMFITCIQ37CTOY7ETEIY6VULCDKVUOLCMA,,26520790.101661,"5"
GAX3BRBNB5WTJ2GNEFFH7A4CZKT2FORYABDDBZR5FIIT3P7FLS2EFOZZ,SDF User Acquisition - In-App Distribution (Hot),26320646.765401,"118070"
GAOFJXGAZR25EMZIKBIGVOTY7GCGYP6763EK2GWMSV2GAW2H4JOKA3LN,,26294515.397372,"2"
GAJ6SUBJUW7MRQLXHGE3RRMUD7L3JLXLHKKQFYDYJRNRR4OAVIZDIHHD,,26229016.621405,"3"
GDRRTV6AQF7IFWTN3NBBAR2MTF52Y7V7REC4FYHLGBW6EXNH4LTHU5AT,Coinbase,26027912.430474,"81"
GA6RTFR6TVTPYLGRAU5OVLD5CMBM7WYMJ73YBDEHD33L3N3OCQCNAP2S,,25647081.830025,"154"
GCVNHGRBEHF2RXZWTXVL4EQSJN6GYWIGODVCQXYKORBGFKI3JJMQ6IUM,Coinbase,25073073.219695,"80"
GAKC5XG2DDUGTAANJJA7NQ54B3U7HN5UQC7R7CIL4GO5RD5FXIHCC5T6,,24491577.8592,"91"
GDT5JWVITDHN6KKX6AX3EK57FOHU4Y5DQWEXAQGPHV3J5OVDUW5NJAG5,,24491577.8592,"102"
GAWFASEXIA5YIT6E3ZXISKOQNKAD453BJ36OTZVWPES575F4Z57G6NRG,,24491577.8592,"83"
GDBUA654WANL2VVIDDRPPGOZJSD7GRQUTPMIUHISGABPMEXZFGWNCJ2R,,24491577.8592,"113"
GDZG73HZFVAGR3BTL5UCFIZHRX3VBNENUOCHUKATR22HPDVY55VOK65N,,24491577.8592,"131"
GDEGY2C2R37MNJX2W7H2FHYKLOHPGUIF5IXLLS7UVU4CPEN423OQR64D,,24491577.8592,"105"
GBWEPD6OYQBYDCV2J4KPA7DAKQH2VRHZGUKJAQPOTU3FUJ6ECR3TUWY6,,24491577.8592,"100"
GBAO6TJC2MQG56MJL6XA5AM4EXPBZYOOTLHQXAT4WG4C7RZC5DQCGSBU,,24491577.8592,"96"
GBNFJLI4NSCRAMQRYCXW26NE7JLZARJL7ZC3APXXGLNPPKZIXC5U44ID,,24491577.8592,"110"
GBOC7RTAHKSY2V45ZSD6XCFSENWHCA6EBWDNCJWF64VX3PKFKXHF767B,,24491577.859199,"111"
GA4HRC6TAQXHKRSVDV3PB4SM43DSNNVW76K6JYGIG4NDOUPUI42VAIMW,,24491577.859199,"143"
GDZCKDABUFLC4XEEVUO3ZTEFX6A23YLGADMJCYAZJD37JIDZTEQ62PYR,,24491577.859199,"80"
GC7746EUQE3H5RRMTCKJ3RFGEQ7YYPY2WATOJZ7H2O4HWV3NXTQSVNRQ,,24491577.859199,"126"
GDCJFJKO6GLFNXBRMCXI3PIQ6UUD27UCKERJNJHJDZT6LGTLB7TZHZH4,,24491577.859199,"82"
GBLEFJECSA4PKGQUQSR7ICUPMIJTRZETLARIIUBCVLAUV4N3JLAJGVCH,,24157614.225009,"212"
GAYFUZ7NAUYZ6RVYVKBEHKPUFWIUWXGGMBI3W3G4XKJEQOK2ZIFAP4RE,,24013284.065312,"537"
GB554CPXC2T37J2ABBF4GNZBAAOZFM5FOC6BHYHRKTQ5YBQ3K2YBM3AC,Coinbase,24006891.529205,"114"
GBCEYVPTL6BFCEIAVTSWVLEKCLVKEPSBXXM6BMHCN5A6VFANO4KWCVZI,Coinbase,24006891.529205,"78"
GCNTEQIUTCVJ2F5H4UNUIXVLH2ERVNFZVDXENCSTMXSZLC3JX6LBE2Z7,Coinbase,24006891.529205,"78"
GBWQ6ZLHG7YNWQ75GCJZCEUY3Q4U2K7AXRQAG5T6KSDWQLNYAYH44GY6,,24006891.529205,"78"
GCIWLLSJ77KV7CWWZVXL3LW5YRTQJIWSWXCFQ6AKH72A5MLWE733WMDJ,Coinbase,24006891.529205,"77"
GCVRWZARQE5X4TJU5EPEIKSRN3AD2EQZIKLSIIQNBOADJEXI6DBVHGDC,,24006891.529205,"78"
GCN3BQM4FTHYKV6CXOFPIDDTCFAOTXMNOYOXQEEC6C7OND3C5ID5M4CG,,24006891.529205,"78"
GCU4OGLC5ZKQWHSYB7YFXJMNUPKB7KUL3EJE64XOVIV2GUSL5Y5SORXH,,23895606.948629,"7"
GDJFD7AJK2PCOELYKLXHUIPOMY3QKNKLIIZS5YLVDUZS7M7IPAXWYYQP,,23741870.13087,"64"
GDGY6T3RBWDDUW7RSVR2OALK5C2IKQHPMLTIYNOPUX4L76VFAUBQK7EW,,23385640.01589,"64"
GAOWSCWNM7C5UG5KXMF34I6DG7WOKR7B4QIL22CMXLKMLGDNNICCADW7,,23124068.143841,"113"
GCOINSKIBDB7E4YUMZVEATT7JRIWLUPH6CBS63FYIZ4DWDXH3P6U6XIU,,22097494.712344,"39675"
GBSICA5KWKVGOKHYJOP2ADZR7YMILXY2K2WYBYIC2QQG7MG2FZ4PGUIQ,,21746984.26761,"2"
GCNZ3SFMGWKHTFFDEAB2QYQRCIZUQ55DULDF775WH7JR77P7UPJLMY2U,,21479180.02555,"78001"
GCK2GQAAKXLSOKPUUB5OSWJCQMNNNHJCEIMBDNIBGDMNE5QFQZ67NIF4,,21259217.605817,"544"
GAP2KHWUMOHY7IO37UJY7SEBIITJIDZS5DRIIQRPEUT4VUKHZQGIRWS4,,21156412.733166,"186"
GDXZG2CZZC2B644PKQSPY4KMTKHTZV26266MR3PB5F7TEXUOULUPZZQ6,,20968686.733771,"170"
GCLPS5PT7K3YC5OWWHFNXHWMJ4A3UM6QHQUBMFAWGK3TKCIBSCMU7UGS,,20726188.050991,"547"
GA3NTBDIKQVDDM6ZDKJLGXJFESWJ636AGRIW34RH5WL24LUMX3YASKX2,,20576740.441837,"246585"
GBC6NRTTQLRCABQHIR5J4R4YDJWFWRAO4ZRQIM2SVI5GSIZ2HZ42RINW,GateIO,20505301.619038,"695448"
GCF7F72LNF3ODSJIIWPJWEVWX33VT2SVZSUQ5NMDKDLK3N2NFCUAUHPT,Poloniex,20176626.064876,"74734"
